gene_id,MC10-IP,MC10-Input,MC21-IP,MC21-Input,MC22-IP,MC22-Input,MC9-IP,MC9-Input,Petro11-IP,Petro11-Input,Petro12-IP,Petro12-Input,Petro23-IP,Petro23-Input,Petro24-IP,Petro24-Input
MSTRG.37387,1,94,1,19,638,65,1,105,1,140,75,144,1,223,1,137
MSTRG.28790,1,20,709,149,1,14,1,193,292,28,1,132,1,236,1,45
MSTRG.12561,1,112,9,85,27,103,1,125,1,135,228,345,316,133,1,97
MSTRG.30887,1,136,1,73,305,105,1,79,1,122,51,200,1,64,1,85
MSTRG.10902,1,565,47,516,1,532,287,726,1,381,11,839,1,729,302,413
MSTRG.38822,377,490,6,232,798,1707,1,1706,127,1647,304,4404,387,2483,205,1741
MSTRG.40293,1124,146,1,261,42,104,1,107,50,164,213,297,51,446,129,353
MSTRG.2530,1,371,312,482,1,302,1,271,72,162,1,577,1,157,5,167
MSTRG.37430,1,40,227,76,1,138,1,100,1,32,1,261,1,194,231,64
MSTRG.4237,1,49,1,26,409,86,1,77,1,47,107,116,1,37,1,23
MSTRG.15223,1,239,1,290,33,241,2,417,1,102,274,162,13,138,4,175
MSTRG.11606,1,148,1,227,627,60,1,204,1,72,24,214,1,160,1,67
MSTRG.32388,421,182,1,127,1,66,1,189,1,149,244,464,1,285,1,166
MSTRG.36268,1,159,1,45,279,61,1,114,1,152,341,547,1,496,1,232
MSTRG.10417,1,77,1,58,1,107,1,76,885,163,1,383,1,483,384,337
MSTRG.22810,1,387,1,45,1,317,363,192,1,209,1,736,1,330,11,261
MSTRG.31030,1,328,857,144,1,350,110,130,870,443,416,961,1,1263,346,720
MSTRG.20066,250,776,5,693,1575,1021,1,820,825,1018,282,2426,2476,2166,190,1252
MSTRG.19167,1,167,623,377,1,89,1,124,108,96,1,587,3,325,2,122
MSTRG.13127,498,17,1,1,1,17,1,15,1,21,1,44,733,63,1,26
MSTRG.34854,1,24,1,27,313,26,1,54,1,79,391,149,1,66,15,92
MSTRG.27726,356,125,1,66,1,105,1,114,1,79,94,188,1,46,1,114
MSTRG.380,204,331,1,385,1147,621,1,489,717,454,239,807,607,611,133,392
MSTRG.17112,1,136,699,167,1,94,183,66,122,76,66,115,1,129,123,69
MSTRG.21169,1,153,676,131,1,102,1,121,1,265,1,364,1,454,513,218
MSTRG.40407,235,510,12,328,550,1430,1,501,588,1436,1695,4559,8511,6523,2579,2927
MSTRG.38007,1,175,663,69,1,84,1,147,1,53,1,164,1,98,56,48
MSTRG.16545,1,113,1,246,1,204,1,149,1,168,321,171,441,246,1,164
MSTRG.12386,1,117,2,14,1,173,295,119,20,108,1,130,2,165,3,109
MSTRG.34317,1,2,1,1,378,10,1,30,1,16,1,6,270,20,1,5
MSTRG.16575,1,5,440,30,1,19,1,26,271,22,1,32,1,42,1,26
MSTRG.40055,1,1485,834,820,2,1078,1060,1597,84,670,75,1351,3,1052,3,577
MSTRG.2208,1,216,841,123,1,384,1,174,649,425,83,1215,1,1812,275,828
MSTRG.44202,1,275,1,290,398,332,1,388,1,222,59,754,1,396,1,469
MSTRG.38043,256,175,1,219,1,142,1,219,1,129,166,196,1,148,1,99
MSTRG.23710,4,1426,4171,1270,100,2045,1211,1465,864,1475,511,3436,689,4725,911,2080
MSTRG.38415,1,500,1,244,1,479,1,323,987,551,5,1032,1,1311,868,519
MSTRG.41265,540,65,1,115,1,48,1,118,5,33,1,242,246,164,1,45
MSTRG.37912,1,70,1,140,1,121,1,136,1,212,267,428,514,545,1,480
MSTRG.34014,1,77,1,1,1,67,1,1,1,83,1,322,1,243,180,158
MSTRG.43865,1,78,1606,84,1,97,1,81,28,81,1,175,1,69,1,80
MSTRG.31001,1,94,1,7,1,85,1,4,696,50,1,98,1,294,1,71
