gene_id,MC10-IP,MC10-Input,MC21-IP,MC21-Input,MC22-IP,MC22-Input,MC9-IP,MC9-Input,Petro11-IP,Petro11-Input,Petro12-IP,Petro12-Input,Petro23-IP,Petro23-Input,Petro24-IP,Petro24-Input
gene30482,1,1,1,2,1,1,1,11,1,7,1,1,1,1,1,1
MSTRG.12632,1,124,1,65,1,139,353,104,505,91,37,198,1,192,1,161
MSTRG.11228,1,21,426,1,1,11,1,28,1,5,1,5,1,24,1,5
MSTRG.19625,1,2,1,1,485,22,1,1,1,3,1,17,1,3,1,7
MSTRG.11222,1,7,1,2,1,4,1,5,1,2,1,3,6,10,1,2
MSTRG.12634,1,15,1,1,1,20,1,1,1,11,1,14,1,28,23,12
MSTRG.11220,1,94,439,19,1293,24,1,112,19,57,1,70,1,57,1,18
MSTRG.11221,1,3,1,24,1,11,1,22,91,1,1,38,1,1,1,1
MSTRG.11226,2,1,1,30,1,1,1,1,1,7,1,3,1,7,1,1
MSTRG.11227,1,22,1,11,1,1,1,10,1,1,1,1,1,1,1,14
MSTRG.11224,1,1,1,1,1,1,1,4,1,5,1,10,556,1,1,3
MSTRG.19623,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1
gene8566,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
MSTRG.19621,1,68,632,46,1,30,1,33,1,80,1,178,1,60,1,24
MSTRG.23533,1,1,1,18,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.23532,2,20,1,9,1,6,1,29,1,1,1,2,1,5,1,2
MSTRG.23531,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1
MSTRG.23530,1,9,1,43,1,6,1,3,1,1,1,1,1,1,1,8
MSTRG.11737,1,4,1,1,1,14,1,48,1,12,1,20,1,122,1,11
MSTRG.23536,1,51,1,33,1,70,27,147,1,60,1,109,1,40,2,103
MSTRG.23535,1,5,1,9,1,4,1,8,1,1,1,6,1,11,1,1
MSTRG.23534,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.23539,1,67,1,1,338,24,1,102,1,35,1,95,1,63,1,1
MSTRG.23538,1,111,1,76,1,60,1,196,1,24,3,24,1,55,14,20
MSTRG.27443,1,1,1,19,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.27442,1,8,1,1,1,11,1,1,1,1,1,7,1,31,1,1
MSTRG.27441,1,56,1,1,1,9,1,53,1,19,1,16,1,20,116,26
